Target_X,Target_Y,Target_Z,Pixel_U,Pixel_V,3D_X,3D_Y,3D_Z
,,700.0,363,392,-51.5,89.0,694.0
,,700.0,425,396,10.5,93.3,696.0
,,700.0,388,410,-26.5,107.0,694.0
,,800.0,434,383,22.4,91.7,795.0
,,800.0,367,386,-54.3,94.9,793.0
,,800.0,421,403,7.4,114.3,793.0
,,900.0,364,370,-64.8,86.0,891.0
,,900.0,398,393,-21.3,116.1,895.0
,,900.0,432,378,22.5,96.5,893.0
,,1000.0,377,374,-53.4,101.2,989.0
,,1000.0,399,385,-22.1,117.0,990.0
,,1000.0,418,368,5.0,92.8,991.0
,,1100.0,372,369,-67.0,104.2,1095.0
,,1100.0,395,367,-30.8,101.1,1096.0
,,1100.0,417,378,3.9,117.7,1089.0
,,1200.0,378,376,-62.6,125.2,1190.0
,,1200.0,393,360,-36.8,97.7,1189.0
,,1200.0,416,369,2.6,113.0,1188.0
,,1300.0,378,369,-67.3,121.9,1281.0
,,1300.0,397,366,-32.2,116.0,1277.0
,,1300.0,425,362,19.5,109.4,1286.0
,,1400.0,377,364,-74.4,121.1,1377.0
,,1400.0,406,367,-16.8,126.8,1375.0
,,1400.0,428,360,26.9,113.3,1379.0
0.0,,700.0,375,371,-39.7,68.3,697.0
0.0,,700.0,376,388,-38.5,85.1,695.0
0.0,,700.0,375,406,-39.6,103.3,696.0
-100.0,,700.0,275,372,-139.7,69.1,695.0
-100.0,,700.0,274,391,-140.5,88.0,694.0
-100.0,,700.0,276,410,-138.3,106.9,693.0
-200.0,,700.0,173,373,-240.4,69.7,691.0
-200.0,,700.0,173,393,-240.8,89.8,692.0
-200.0,,700.0,174,410,-239.1,106.4,690.0
-300.0,,700.0,71,374,-341.0,70.5,689.0
-300.0,,700.0,73,394,-339.0,90.4,689.0
-300.0,,700.0,72,413,-338.5,108.8,686.0
200.0,,700.0,576,367,164.1,65.0,705.0
200.0,,700.0,575,390,162.6,88.2,703.0
200.0,,700.0,575,411,162.1,109.1,701.0
0.0,,1000.0,382,360,-46.6,81.7,995.0
0.0,,1000.0,380,374,-49.5,102.0,997.0
0.0,,1000.0,381,385,-47.9,117.4,993.0
-100.0,,1000.0,313,387,-144.3,119.5,987.0
-100.0,,1000.0,312,372,-146.2,98.5,990.0
-100.0,,1000.0,312,357,-146.6,77.3,993.0
-200.0,,1000.0,242,358,-246.3,78.6,991.0
-200.0,,1000.0,242,374,-245.8,101.2,989.0
-200.0,,1000.0,242,385,-245.6,116.8,988.0
-300.0,,1000.0,170,359,-346.7,79.4,984.0
-300.0,,1000.0,171,373,-345.2,99.3,984.0
-300.0,,1000.0,169,385,-348.1,116.3,984.0
200.0,,1000.0,520,355,150.7,74.3,991.0
200.0,,1000.0,521,368,151.9,92.7,990.0
200.0,,1000.0,521,380,151.6,109.6,988.0
0.0,,1300.0,383,350,-58.1,86.8,1281.0
0.0,,1300.0,385,360,-54.5,105.3,1282.0
0.0,,1300.0,384,370,-56.1,123.3,1277.0
-100.0,,1300.0,330,350,-156.1,86.8,1282.0
-100.0,,1300.0,330,361,-155.9,107.1,1281.0
-100.0,,1300.0,330,371,-155.7,125.4,1279.0
-200.0,,1300.0,275,361,-256.3,106.6,1275.0
-200.0,,1300.0,276,370,-254.2,123.0,1274.0
-200.0,,1300.0,276,353,-254.4,91.9,1275.0
-300.0,,1300.0,220,350,-357.3,86.4,1275.0
-300.0,,1300.0,221,362,-354.9,108.2,1273.0
-300.0,,1300.0,220,373,-357.6,128.7,1276.0
