Condition,Pixel_X,Pixel_Y,3D_X_mm,3D_Y_mm,3D_Z_mm
Z=700,363,392,-51.5,89,694
Z=700,425,396,10.5,93.3,696
Z=700,388,410,-26.5,107,694
Z=800,434,383,22.4,91.7,795
Z=800,367,386,-54.3,94.9,793
Z=800,421,403,7.4,114.3,793
Z=900,364,370,-64.8,86,891
Z=900,398,393,-21.3,116.1,895
Z=900,432,378,22.5,96.5,893
Z=1000,377,374,-53.4,101.2,989
Z=1000,399,385,-22.1,117,990
Z=1000,418,368,5,92.8,991
Z=1100,372,369,-67,104.2,1095
Z=1100,395,367,-30.8,101.1,1096
Z=1100,417,378,3.9,117.7,1089
Z=1200,378,376,-62.6,125.2,1190
Z=1200,393,360,-36.8,97.7,1189
Z=1200,416,369,2.6,113,1188
Z=1300,378,369,-67.3,121.9,1281
Z=1300,397,366,-32.2,116,1277
Z=1300,425,362,19.5,109.4,1286
Z=1400,377,364,-74.4,121.1,1377
Z=1400,406,367,-16.8,126.8,1375
Z=1400,428,360,26.9,113.3,1379
"Z=700,x=0",375,371,-39.7,68.3,697
"Z=700,x=0",376,388,-38.5,85.1,695
"Z=700,x=0",375,406,-39.6,103.3,696
"Z=700,x=-100",275,372,-139.7,69.1,695
"Z=700,x=-100",274,391,-140.5,88,694
"Z=700,x=-100",276,410,-138.3,106.9,693
"Z=700,x=-200",173,373,-240.4,69.7,691
"Z=700,x=-200",173,393,-240.8,89.8,692
"Z=700,x=-200",174,410,-239.1,106.4,690
"Z=700,x=-300",71,374,-341,70.5,689
"Z=700,x=-300",73,394,-339,90.4,689
"Z=700,x=-300",72,413,-338.5,108.8,686
"Z=700,x=200",576,367,164.1,65,705
"Z=700,x=200",575,390,162.6,88.2,703
"Z=700,x=200",575,411,162.1,109.1,701
"Z=1000,x=0",382,360,-46.6,81.7,995
"Z=1000,x=0",380,374,-49.5,102,997
"Z=1000,x=0",381,385,-47.9,117.4,993
Z=1000£¬x=-100,313,387,-144.3,119.5,987
Z=1000£¬x=-100,312,372,-146.2,98.5,990
Z=1000£¬x=-100,312,357,-146.6,77.3,993
Z=1000£¬x=-200,242,358,-246.3,78.6,991
Z=1000£¬x=-200,242,374,-245.8,101.2,989
Z=1000£¬x=-200,242,385,-245.6,116.8,988
Z=1000£¬x=-300,170,359,-346.7,79.4,984
Z=1000£¬x=-300,171,373,-345.2,99.3,984
Z=1000£¬x=-300,169,385,-348.1,116.3,984
Z=1000£¬x=200,520,355,150.7,74.3,991
Z=1000£¬x=200,521,368,151.9,92.7,990
Z=1000£¬x=200,521,380,151.6,109.6,988
"Z=1300,x=0",383,350,-58.1,86.8,1281
"Z=1300,x=0",385,360,-54.5,105.3,1282
"Z=1300,x=0",384,370,-56.1,123.3,1277
"Z=1300,x=-100",330,350,-156.1,86.8,1282
"Z=1300,x=-100",330,361,-155.9,107.1,1281
"Z=1300,x=-100",330,371,-155.7,125.4,1279
"Z=1300,x=-200",275,361,-256.3,106.6,1275
"Z=1300,x=-200",276,370,-254.2,123,1274
"Z=1300,x=-200",276,353,-254.4,91.9,1275
"Z=1300,x=-300",220,350,-357.3,86.4,1275
"Z=1300,x=-300",221,362,-354.9,108.2,1273
"Z=1300,x=-300",220,373,-357.6,128.7,1276
"Z=1300,x=200",491,370,141.1,123.6,1280
"Z=1300,x=200",490,357,139.3,99.6,1280
"Z=1300,x=200",490,346,139.4,79.4,1281
"Z=1300,x=300",545,349,242.8,85.6,1291
"Z=1300,x=300",545,358,243.7,102.7,1296
"Z=1300,x=300",545,366,243.4,117.5,1294
"Z=700,y=0",370,315,-44.6,12,695
"Z=700,y=0",339,314,-75.5,11,694
"Z=700,y=0",409,315,-5.5,12.1,698
"Z=700,y=-100",330,214,-84.5,-89,694
"Z=700,y=-100",369,214,-45.6,-89.2,695
"Z=700,y=-100",424,215,9.6,-88.8,700
"Z=700,y=-200",323,115,-91.6,-188.4,695
"Z=700,y=-200",368,116,-46.8,-188.2,698
"Z=700,y=-200",417,115,2.5,-190,701
"Z=700,y=-300",335,15,-79.9,-289.8,698
"Z=700,y=-300",370,15,-44.9,-290.6,700
"Z=700,y=-300",410,16,-4.5,-290.8,703
"Z=1000,y=0",341,319,-104.7,22.8,989
"Z=1000,y=0",374,317,-57.8,20,990
"Z=1000,y=0",413,316,-2.1,18.6,994
"Z=1000,y=-100",348,247,-94.7,-79.8,988
"Z=1000,y=-100",375,248,-56.4,-78.6,991
"Z=1000,y=-100",406,246,-12.2,-81.7,994
"Z=1000,y=-200",344,178,-100.8,-178.8,992
"Z=1000,y=-200",378,178,-52.3,-179.1,994
"Z=1000,y=-200",411,177,-5,-181.5,999
"Z=1000,y=-300",341,110,-105,-276,992
"Z=1000,y=-300",378,110,-52.3,-276.8,995
"Z=1000,y=-300",418,109,5.1,-280.2,1002
"Z=1000,y=-400",347,38,-96.9,-380.5,996
"Z=1000,y=-400",378,38,-52.5,-381.6,999
"Z=1000,y=-400",416,39,2.2,-381.7,1003
"Z=1300,y=0",356,318,-107.6,27.6,1277
"Z=1300,y=0",383,319,-57.9,29.4,1277
"Z=1300,y=0",410,319,-8.3,29.5,1282
"Z=1300,y=-100",358,265,-103.6,-69.7,1273
"Z=1300,y=-100",383,265,-58,-70,1278
"Z=1300,y=-100",411,265,-6.4,-70.2,1281
"Z=1300,y=-200",356,212,-107.6,-167.5,1277
"Z=1300,y=-200",384,212,-56.3,-168.1,1281
"Z=1300,y=-200",410,213,-8.3,-166.2,1281
"Z=1300,y=-300",354,158,-111,-266.1,1273
"Z=1300,y=-300",382,158,-59.8,-266.9,1277
"Z=1300,y=-300",408,158,-12,-267.8,1281
"Z=1300,y=-400",352,105,-115,-364.5,1277
"Z=1300,y=-400",380,104,-63.8,-368.1,1283
"Z=1300,y=-400",408,105,-12,-366.8,1285
"Z=1300,y=-500",356,50,-108,-467.6,1282
"Z=1300,y=-500",384,50,-56.5,-469.4,1287
"Z=1300,y=-500",408,51,-12,-467.5,1287
